Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,1,3,1,6,0,6,6
416 LENOX AVENUE,Multifamily Incentives Program,Manhattan,10037.0,9.0,208,MN03,New Construction,Non Prevailing Wage,0,0,0,4,0,4,12
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,112,38,0,150,150,150
3512/3514 FARRAGUT APARTMENTS,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,13
102 QUINCY STREET,Multifamily Incentives Program,Brooklyn,11238.0,35.0,229,BK69,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10035.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,26,27,0,27,27
DESHLER APARTMENT,Multifamily Finance Program,Manhattan,10026.0,9.0,216,MN11,Preservation,Non Prevailing Wage,17,5,0,25,0,25,25
61 SCHAEFER STREET,Multifamily Incentives Program,Brooklyn,11207.0,37.0,401,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11412.0,27.0,366,QN08,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
166 East 100th Street,Multifamily Incentives Program,Manhattan,10029.0,5.0,166,MN33,New Construction,Non Prevailing Wage,0,0,11,11,0,11,11
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
Calvary.112-02 Guy Brewer Boulevard,Multifamily Finance Program,Queens,11433.0,28.0,264,QN01,New Construction,Non Prevailing Wage,8,0,44,53,0,53,53
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,277,BK35,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,17,1,0,2,16,18,18
1314 SENECA HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10474.0,17.0,11502,BX27,Preservation,Non Prevailing Wage,2,3,42,60,0,60,60
246 JOHNSON AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,493,BK78,New Construction,Non Prevailing Wage,0,0,6,6,0,6,30
LESPMHA HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,0,3,4,7,0,7,7
614-20 EAST 9 STREET HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,2602,MN28,Preservation,Non Prevailing Wage,0,0,0,0,8,8,8
2437 PITKIN AVENUE,Multifamily Incentives Program,Brooklyn,11208.0,37.0,1166,BK82,New Construction,Non Prevailing Wage,0,6,0,10,0,10,32
569 PROSPECT,Small Homes Program,Bronx,10455.0,8.0,79,BX34,New Construction,Non Prevailing Wage,0,0,16,45,0,45,45
MHANY East NY Partnership,Multifamily Finance Program,Brooklyn,11208.0,42.0,1196,BK82,Preservation,Non Prevailing Wage,0,1,1,3,0,3,3
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11433.0,27.0,444,QN61,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,36.0,263,BK75,Preservation,Non Prevailing Wage,1,1,1,3,0,3,3
545 EAST 166TH ST,Small Homes Program,Bronx,10456.0,16.0,185,BX35,New Construction,Non Prevailing Wage,8,8,24,41,0,41,41
1547 EAST NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11212.0,41.0,363,BK79,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
WEST 135TH STREET APARTMENTS,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,1,17,18,0,18,18
625 & 658 DRIGGS AVE,Multifamily Incentives Program,Brooklyn,11211.0,34.0,519,BK73,New Construction,Non Prevailing Wage,0,0,4,6,0,6,19
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11206.0,36.0,25901,BK75,Preservation,Non Prevailing Wage,2,1,1,4,0,4,4
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10037.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
424 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,Bronx,10451.0,17.0,51,BX39,Preservation,Non Prevailing Wage,0,8,20,28,0,28,28
MASARYK TOWERS,Multifamily Finance Program,Manhattan,10002.0,2.0,2201,MN28,Preservation,Non Prevailing Wage,0,220,0,0,220,220,220
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11238.0,35.0,217,BK61,Preservation,Non Prevailing Wage,2,5,0,7,0,7,7
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1130,BK85,Preservation,Non Prevailing Wage,1,2,0,3,0,3,3
Hunts Point Cluster,Multifamily Finance Program,Bronx,10474.0,17.0,93,BX27,Preservation,Non Prevailing Wage,0,1,3,8,0,8,8
A.D. & Nash Co. L.P.,Multifamily Finance Program,Brooklyn,11221.0,36.0,291,BK35,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
COMUNILIFE. 3395-3401 THIRD AVENUE,Multifamily Finance Program,Bronx,10456.0,16.0,185,BX35,New Construction,Non Prevailing Wage,90,29,28,148,0,148,148
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
1417 LONGFELLOW AVENUE,Multifamily Incentives Program,Bronx,10459.0,17.0,123,BX75,New Construction,Non Prevailing Wage,0,0,8,8,0,8,38
HP 451 EAST 116TH STREET HDFC. HPO.FY19,Multifamily Finance Program,Manhattan,10029.0,8.0,178,MN34,Preservation,Non Prevailing Wage,1,1,15,28,0,28,28
ESPLANADE GARDENS INCORPORATED.PLP.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,19,292,0,0,312,312,312
FRIENDSET APTS HDFC.HUDMF.FY18,Multifamily Finance Program,Brooklyn,11224.0,47.0,342,BK21,Preservation,Non Prevailing Wage,250,4,1,259,0,259,259
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,116,0,0,116,116,116
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,0,8,3,12,0,12,12
3506 & 3508 FARRAGUT ROAD,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,13
MHANY 75,Multifamily Finance Program,Brooklyn,11208.0,42.0,1194,BK82,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
LINDEN TERRACE BUILDING 1,Multifamily Finance Program,Brooklyn,11208.0,42.0,1220,BK82,New Construction,Non Prevailing Wage,48,48,138,235,0,235,235
HERITAGE HOLDINGS HDFC.HPO.FY20,Multifamily Finance Program,Manhattan,10029.0,9.0,17402,MN33,Preservation,Non Prevailing Wage,0,0,1,16,0,16,56
MONTROSE PARK LLC,Multifamily Incentives Program,Brooklyn,11206.0,34.0,511,BK90,New Construction,Non Prevailing Wage,0,0,8,8,0,8,40
PROJECT RENEWAL.2865 CRESTON AVE.BEDFORD GREEN HOU,Multifamily Finance Program,Bronx,10468.0,14.0,40701,BX28,New Construction,Prevailing Wage,71,0,46,118,0,118,118
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10027.0,9.0,215,MN03,Preservation,Non Prevailing Wage,0,10,0,10,0,10,10
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,1,2,3,6,0,6,6
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,5.0,15802,MN33,Preservation,Non Prevailing Wage,1,4,5,10,0,10,10
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11413.0,27.0,366,QN08,Preservation,Non Prevailing Wage,7,0,0,7,0,7,7
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
Bronx Shepherds,Multifamily Finance Program,Bronx,10472.0,18.0,54,BX08,Preservation,Non Prevailing Wage,0,19,24,43,0,43,43
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,387,BK35,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
TBX910 - Lemle & Wolff,Multifamily Finance Program,Bronx,10468.0,14.0,255,BX30,Preservation,Non Prevailing Wage,0,0,8,9,0,9,9
West 140th Street,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,5,8,18,0,18,18
1431 VYSE AVENUE,Multifamily Incentives Program,Bronx,10459.0,17.0,123,BX75,New Construction,Non Prevailing Wage,0,0,0,4,0,4,12
2547 CRUGER AVENUE,Multifamily Incentives Program,Bronx,10467.0,15.0,330,BX07,New Construction,Non Prevailing Wage,0,0,0,5,0,5,15
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,426,BX62,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,0,26,0,26,26,26
JDD COURT HDFC,Multifamily Finance Program,Bronx,10456.0,16.0,185,BX35,Preservation,Non Prevailing Wage,15,45,7,68,0,68,68
MATSIA REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10472.0,18.0,5002,BX55,Preservation,Non Prevailing Wage,4,12,37,54,0,54,54
18 STANHOPE STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,0,8,0,8,26
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,388,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
2609 Briggs Realty LLC,Multifamily Finance Program,Bronx,10458.0,15.0,39901,BX05,Preservation,Non Prevailing Wage,2,0,51,55,0,55,55
MHANY 75,Multifamily Finance Program,Brooklyn,11208.0,42.0,1118,BK82,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,3,18,22,0,22,22
Vannguard,Multifamily Finance Program,Brooklyn,11233.0,36.0,295,BK35,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11207.0,42.0,1130,BK85,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Pio Mendez / VIP,Multifamily Incentives Program,Bronx,10474.0,17.0,11502,BX27,Preservation,Non Prevailing Wage,0,91,0,91,0,91,91
1597 LINCOLN PLACE,Multifamily Incentives Program,Brooklyn,11233.0,41.0,359,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
404 East 10 Street HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,0,0,0,0,11,11,11
223 MANHATTAN AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,503,BK90,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
2232 KIMBALL STREET,Multifamily Incentives Program,Brooklyn,11234.0,46.0,662,BK45,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,13.0,324,BX07,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
HP WH HDFC.HPO.FY19 (BLACK SPRUCE - WASHINGTON HEIGHTS),Multifamily Finance Program,Manhattan,10040.0,10.0,279,MN35,Preservation,Non Prevailing Wage,2,17,10,38,0,38,38
100 BARROW STREET,Multifamily Incentives Program,Manhattan,10014.0,3.0,69,MN23,New Construction,Non Prevailing Wage,0,0,0,7,0,7,33
EBENEZER PLAZA PHASE 1A,Multifamily Finance Program,Brooklyn,11212.0,42.0,920,BK81,New Construction,Non Prevailing Wage,40,40,116,197,0,197,197
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,10,4,3,17,0,17,17
10 LEXINGTON AVENUE,Multifamily Incentives Program,Brooklyn,11238.0,35.0,231,BK69,New Construction,Non Prevailing Wage,0,0,17,17,0,17,81
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,260,124,0,384,384,384
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,17,6,5,29,0,29,29
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11221.0,36.0,279,BK35,Preservation,Non Prevailing Wage,2,8,3,13,0,13,13
PHIPPS PLAZA SOUTH/KB 25,Multifamily Incentives Program,Manhattan,10010.0,2.0,66,MN20,New Construction,Non Prevailing Wage,0,0,22,22,0,22,56
Bay Park I Apartments (20140285),Multifamily Incentives Program,Brooklyn,11224.0,47.0,330,BK21,Preservation,Non Prevailing Wage,0,0,133,134,0,134,134
Mermaid  / West. 16th Street,Small Homes Program,Brooklyn,11224.0,47.0,342,BK21,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
639 FOSTER AVENUE,Multifamily Incentives Program,Brooklyn,11230.0,40.0,482,BK42,New Construction,Non Prevailing Wage,0,0,0,7,0,7,22
RIVER CROSSING OWNER HDFC.HPO.FY20,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,Preservation,Non Prevailing Wage,0,0,3,202,0,202,306
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,76,BK32,Preservation,Non Prevailing Wage,1,2,0,3,0,3,3
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,13,5,4,24,0,24,24
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11419.0,28.0,152,QN54,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
ST. ANN'S APARTMENTS LLC.YR15.FY20,Multifamily Finance Program,Bronx,10459.0,17.0,131,BX33,Preservation,Non Prevailing Wage,9,14,5,30,0,30,30
Melrose Estates,Multifamily Finance Program,Bronx,10455.0,17.0,67,BX34,Preservation,Non Prevailing Wage,0,1,9,10,0,10,10
GROWER-GREEN,Multifamily Incentives Program,Brooklyn,11211.0,34.0,527,BK73,Preservation,Non Prevailing Wage,16,7,3,29,0,29,29
CSH,Multifamily Finance Program,Brooklyn,11212.0,41.0,892,BK81,Preservation,Non Prevailing Wage,0,0,20,23,0,23,23
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,370,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
1199 HOUSING CORP.PLP.FY19,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,Preservation,Non Prevailing Wage,68,327,0,0,396,396,396
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,22,BK32,Preservation,Non Prevailing Wage,6,0,0,6,0,6,6
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,32,32,0,32,32
TBX910 - Lemle & Wolff,Multifamily Finance Program,Bronx,10474.0,17.0,117,BX27,Preservation,Non Prevailing Wage,0,0,48,49,0,49,49
MHANY 2,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
Douglaston.155-175 Friendship Lane. Seaview C,Multifamily Finance Program,Staten Island,10314.0,50.0,181,SI24,New Construction,Prevailing Wage,80,0,0,80,0,80,80
EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,31,7,4,45,0,45,45
1127 FLATBUSH AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11226.0,40.0,792,BK95,New Construction,Non Prevailing Wage,0,0,0,9,0,9,28
333 CYPRESS AVENUE APARTMENTS,Multifamily Incentives Program,Bronx,10454.0,8.0,33,BX39,New Construction,Non Prevailing Wage,0,0,0,13,0,13,41
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,100,BK34,Preservation,Non Prevailing Wage,5,0,0,6,0,6,6
LESPMHA HDFC,Multifamily Incentives Program,Manhattan,10002.0,2.0,3001,MN27,Preservation,Non Prevailing Wage,0,9,10,19,0,19,19
9 FORT WASHINGTON AVENUE CLUSTER,Multifamily Finance Program,Manhattan,10032.0,7.0,247,MN36,Preservation,Non Prevailing Wage,0,0,0,0,25,25,25
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,112,63,0,175,175,175
2019 UNION STREET,Multifamily Incentives Program,Brooklyn,11212.0,41.0,900,BK81,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Washington Square Southeast,Multifamily Finance Program,Manhattan,10012.0,1.0,5501,MN23,Preservation,Non Prevailing Wage,0,175,0,0,175,175,175
901 MYRTLE AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,36.0,257,BK75,New Construction,Non Prevailing Wage,0,0,7,7,0,7,34
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,2,6,8,0,8,8
"HELUX, THE",Multifamily Incentives Program,Manhattan,10036.0,3.0,129,MN15,New Construction,Non Prevailing Wage,0,0,0,18,0,18,375
LESPMHA HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,2202,MN28,Preservation,Non Prevailing Wage,0,1,1,2,0,2,2
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,1144,BK85,Preservation,Non Prevailing Wage,1,4,0,5,0,5,5
406 CORNELIA STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11237.0,37.0,439,BK77,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
ZEVRONE REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10456.0,16.0,17902,BX14,Preservation,Non Prevailing Wage,8,11,27,47,0,47,47
840 Fulton Street,Multifamily Incentives Program,Brooklyn,11238.0,35.0,199,BK69,New Construction,Non Prevailing Wage,0,0,8,8,0,8,39
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
1068 PUTNAM AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,41.0,375,BK35,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,77,51,128,0,128,128
1675 WESTCHESTER,Multifamily Finance Program,Bronx,10472.0,18.0,64,BX08,New Construction,Non Prevailing Wage,50,49,112,249,0,249,249
71 EAST 110TH STREET,Multifamily Incentives Program,Manhattan,10029.0,8.0,17402,MN33,New Construction,Non Prevailing Wage,0,0,3,3,0,3,14
Doe.1345 Rogers Ave,Multifamily Finance Program,Brooklyn,11210.0,45.0,788,BK42,New Construction,Prevailing Wage,115,0,7,123,0,123,123
DAYTON BEACH PARK,Multifamily Finance Program,Queens,11693.0,32.0,94203,QN12,Preservation,Non Prevailing Wage,0,206,24,0,230,230,230
2985 AND 2987 WEBSTER AVE,Multifamily Incentives Program,Bronx,10458.0,11.0,415,BX05,New Construction,Non Prevailing Wage,0,0,18,18,0,18,88
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11212.0,42.0,894,BK81,Preservation,Non Prevailing Wage,1,2,1,4,0,4,4
THE GILBERT,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,New Construction,Non Prevailing Wage,16,38,49,153,0,153,153
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,22102,MN03,Preservation,Non Prevailing Wage,0,0,14,15,0,15,15
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1132,BK85,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
80 AINSLIE STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11211.0,34.0,513,BK73,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,40,40,0,40,40
1561 WALTON AVENUE,Multifamily Finance Program,Bronx,10452.0,14.0,209,BX63,New Construction,Non Prevailing Wage,8,28,23,60,0,60,60
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,2,2,4,0,4,4
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11206.0,36.0,283,BK35,Preservation,Non Prevailing Wage,0,0,36,36,0,36,36
Vannguard,Multifamily Finance Program,Brooklyn,11233.0,36.0,295,BK35,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
41 WHIPPLE ST (LOS SURES PHASE 1),Multifamily Incentives Program,Brooklyn,11206.0,33.0,507,BK75,Preservation,Non Prevailing Wage,0,0,50,50,0,50,51
GROWER-GREEN,Multifamily Incentives Program,Brooklyn,11211.0,34.0,513,BK73,Preservation,Non Prevailing Wage,12,5,2,22,0,22,22
Belmont Venezia,Multifamily Finance Program,Bronx,10458.0,15.0,389,BX06,Preservation,Non Prevailing Wage,0,0,62,63,0,63,63
412 EVERGREEN AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,0,7,0,7,21
NHP - HOPE HOMES CLUSTER AMENDMENT,Multifamily Finance Program,Manhattan,10035.0,8.0,178,MN34,Preservation,Non Prevailing Wage,0,0,0,0,3,3,3
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
MHANY 75,Multifamily Finance Program,Brooklyn,11221.0,34.0,397,BK78,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
SENDERO VERDE B,Multifamily Finance Program,Manhattan,10029.0,8.0,17402,MN33,New Construction,Non Prevailing Wage,25,18,22,85,0,85,85
105-05 NORTHERN BOULEVARD,Multifamily Incentives Program,Queens,11368.0,21.0,365,QN27,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,10,3,0,1,12,13,13
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,115,0,0,115,115,115
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,119,56,0,175,175,175
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,8,8,0,8,8
348 NOSTRAND AVENUE,Multifamily Incentives Program,Brooklyn,11216.0,36.0,243,BK75,New Construction,Non Prevailing Wage,0,0,0,9,0,9,28
Marion Avenue Residence,Multifamily Incentives Program,Bronx,10458.0,15.0,40502,BX05,New Construction,Non Prevailing Wage,0,0,99,100,0,100,100
HP HENRY HUDSON HDFC.HPO.FY19 (3420 HENRY HUDSON PKWY),Multifamily Finance Program,Bronx,10463.0,11.0,297,BX29,Preservation,Non Prevailing Wage,0,8,23,73,0,73,108
