Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
"RIVERBEND HOUSING COMPANY, INC.",Multifamily Finance Program,Manhattan,10037.0,9.0,210,MN34,Preservation,Non Prevailing Wage,0,0,0,0,84,84,84
Dorie Miller Apartments - WHGA,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,0,11,7,18,0,18,18
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,265,BK75,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,143,BX14,Preservation,Non Prevailing Wage,41,11,2,54,0,54,54
830 FLATBUSH AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11226.0,40.0,50801,BK42,New Construction,Non Prevailing Wage,0,0,0,6,0,6,20
Park Monroe II,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,3,2,3,8,0,8,8
Mount Sharon HDFC,Multifamily Finance Program,Bronx,10463.0,14.0,277,BX28,Preservation,Non Prevailing Wage,0,3,6,9,0,9,9
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11429.0,27.0,512,QN34,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
VAN BUREN/GREENE,Small Homes Program,Brooklyn,11221.0,36.0,263,BK75,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Dorie Miller Apartments - WHGA,Multifamily Finance Program,Manhattan,10039.0,9.0,23502,MN03,Preservation,Non Prevailing Wage,0,6,14,20,0,20,20
STAN GREEN APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,258,126,0,384,384,384
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11212.0,37.0,908,BK81,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
BRIDGE COMMUNITY,Multifamily Finance Program,Brooklyn,11233.0,41.0,381,BK61,Preservation,Non Prevailing Wage,0,1,6,8,0,8,8
ONE FLUSHING,Multifamily Finance Program,Queens,11355.0,20.0,871,QN22,New Construction,Non Prevailing Wage,0,66,105,232,0,232,232
2155 CATON AVENUE,Multifamily Incentives Program,Brooklyn,11226.0,40.0,79602,BK60,New Construction,Non Prevailing Wage,0,0,0,9,0,9,30
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11216.0,36.0,219,BK61,Preservation,Non Prevailing Wage,1,3,1,6,0,6,6
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,291,BK35,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,Manhattan,10026.0,9.0,218,MN11,Preservation,Non Prevailing Wage,0,10,0,16,0,16,16
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10475.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
CAROL GARDENS.PLP.FY2018,Multifamily Finance Program,Bronx,10473.0,18.0,42,BX09,Preservation,Prevailing Wage,10,76,70,157,0,157,157
ALEXANDER LOFTS,Multifamily Incentives Program,Bronx,10454.0,8.0,19,BX39,New Construction,Non Prevailing Wage,0,0,0,3,0,3,16
142 MANHATTAN AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,505,BK90,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
HP ACP HDFC.HPO.FY19 (BLACK SPRUCE),Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,4,0,9,0,9,9
HP DUNWELL HOUSING DEVELOPMENT FUND COMPANY.HUDMF.FY18,Multifamily Finance Program,Manhattan,10032.0,7.0,241,MN36,Preservation,Non Prevailing Wage,160,13,3,183,0,183,183
Douglaston.155-175 Friendship Lane. Seaview C,Multifamily Finance Program,Staten Island,10314.0,50.0,181,SI24,New Construction,Prevailing Wage,80,0,0,81,0,81,81
STEVENSON COMMONS,Multifamily Finance Program,Bronx,10473.0,18.0,16,BX09,Preservation,Non Prevailing Wage,0,228,0,230,0,230,230
Arverne/Nordak,Multifamily Finance Program,Queens,11692.0,31.0,97204,QN12,Preservation,Non Prevailing Wage,0,0,0,0,343,343,343
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
151 SOMERS STREET CONDOMINIUMS,Multifamily Incentives Program,Brooklyn,11233.0,37.0,369,BK79,New Construction,Non Prevailing Wage,0,0,2,0,2,2,8
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,178,MN34,Preservation,Non Prevailing Wage,0,5,3,8,0,8,8
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11206.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,9,9,0,9,9
LINWOOD PARK APARTMENTS,Multifamily Finance Program,Brooklyn,11208.0,37.0,1168,BK82,New Construction,Non Prevailing Wage,38,2,59,100,0,100,100
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11207.0,42.0,1132,BK85,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY,Multifamily Incentives Program,Brooklyn,11231.0,39.0,47,BK33,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
BEC Phase 1,Multifamily Finance Program,Brooklyn,11216.0,35.0,221,BK61,Preservation,Non Prevailing Wage,0,2,4,7,0,7,7
Bronx Shepherds,Multifamily Finance Program,Bronx,10459.0,16.0,153,BX75,Preservation,Non Prevailing Wage,0,5,11,16,0,16,16
64 SCHOLES STREET,Multifamily Incentives Program,Brooklyn,11206.0,34.0,511,BK90,New Construction,Non Prevailing Wage,0,0,64,64,0,64,65
626 EAST 223 STREET,Multifamily Incentives Program,Bronx,10466.0,12.0,394,BX44,New Construction,Non Prevailing Wage,0,1,1,2,0,2,8
PRC Andrews Avenue,Multifamily Finance Program,Bronx,10459.0,17.0,159,BX27,Preservation,Non Prevailing Wage,0,43,0,43,0,43,43
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
975 LIBERTY AVENUE,Multifamily Incentives Program,Brooklyn,11208.0,37.0,1196,BK82,New Construction,Non Prevailing Wage,0,5,5,13,0,13,41
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,0,3,5,8,0,8,8
NUEVA ERA APARTMENTS,Multifamily Finance Program,Manhattan,10033.0,10.0,261,MN36,Preservation,Non Prevailing Wage,14,1,1,17,0,17,17
GREENPOINT LANDING D2,Multifamily Incentives Program,Brooklyn,11222.0,33.0,563,BK76,New Construction,Non Prevailing Wage,0,0,0,83,0,83,302
183 COVERT STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11207.0,37.0,413,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,386,BX03,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,8,1,9,0,9,9
65 PARK PLACE,Multifamily Incentives Program,Brooklyn,11217.0,39.0,12902,BK37,New Construction,Non Prevailing Wage,0,0,4,4,0,4,17
127 TROUTMAN STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,425,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,4,1,5,0,5,5
Nelson Luquer,Multifamily Finance Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
188 PULASKI STREET,Multifamily Incentives Program,Brooklyn,11206.0,36.0,261,BK75,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11212.0,37.0,908,BK81,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
